token_uid,category_code,category_name,index,regkey_raw,title,definition,examples,wire_token,definition_id,wire_token_uniqueness,category+index_uniqueness
SIGSMOT013,MOT,Motion / Movement,013,SP:MOT:013,,Passive drifting or lack of direction.,float|wander|meander,mot013,339,TRUE,TRUE
SIGSMOT014,MOT,Motion / Movement,014,SP:MOT:014,,Grouped or coordinated collective motion.,mob|herd|swarm,mot014,340,TRUE,TRUE
SIGSMOT015,MOT,Motion / Movement,015,SP:MOT:015,,Spinning or twisting motion.,twist|spiral|turn,mot015,341,TRUE,TRUE
SIGSMOT016,MOT,Motion / Movement,016,SP:MOT:016,,Symbolic motion in storytelling or ritual.,pass through|initiate|cross,mot016,342,TRUE,TRUE
SIGSMOT017,MOT,Motion / Movement,017,SP:MOT:017,,Moving across time or memory.,flashback|revisit|time jump,mot017,343,TRUE,TRUE
SIGSMOT018,MOT,Motion / Movement,018,SP:MOT:018,,Physical movement as self-expression.,pose|gesture|stance,mot018,344,TRUE,TRUE
SIGSMOT019,MOT,Motion / Movement,019,SP:MOT:019,,Motion initiated by external command.,go|move|advance,mot019,345,TRUE,TRUE
SIGSMOT01A,MOT,Motion / Movement,01A,SP:MOT:01A,,Acceleration or rapid increase in motion.,zoom|accelerate|speed up,mot01a,346,TRUE,TRUE
SIGSMOT01B,MOT,Motion / Movement,01B,SP:MOT:01B,,Descent into emotional depth or complexity.,sink in|dive deep|drop,mot01b,347,TRUE,TRUE
SIGSMOT01C,MOT,Motion / Movement,01C,SP:MOT:01C,,Motion indicating transition from one realm to another.,cross over|pass through|shift planes,mot01c,348,TRUE,TRUE
SIGSMOT01D,MOT,Motion / Movement,01D,SP:MOT:01D,,Upward motion with aspiration or inspiration.,ascend|rise|lift,mot01d,349,TRUE,TRUE
SIGSMOT01E,MOT,Motion / Movement,01E,SP:MOT:01E,,Motion toward union or fusion.,merge|join|blend,mot01e,350,TRUE,TRUE
SIGSMOT01F,MOT,Motion / Movement,01F,SP:MOT:01F,,Motion symbolizing entry into a protected or sacred space.,enter|step in|cross threshold,mot01f,351,TRUE,TRUE
SIGSMOT01G,MOT,Motion / Movement,01G,SP:MOT:01G,,Winding or labyrinthine movement through complexity.,weave|thread|navigate,mot01g,352,TRUE,TRUE
SIGSMOT01H,MOT,Motion / Movement,01H,SP:MOT:01H,,Delayed movement caused by caution or fear.,stall|pause|freeze up,mot01h,353,TRUE,TRUE
SIGSMOT01I,MOT,Motion / Movement,01I,SP:MOT:01I,,Motion guided by following another’s path or lead.,trail|follow|track,mot01i,354,TRUE,TRUE
SIGSMOT01J,MOT,Motion / Movement,01J,SP:MOT:01J,,"Energetic, expressive motion signaling confidence.",strut|swagger|saunter,mot01j,355,TRUE,TRUE
SIGSMOT01K,MOT,Motion / Movement,01K,SP:MOT:01K,,Movement reflecting uncertainty or indecision.,hover|waffle|shift back,mot01k,356,TRUE,TRUE
SIGSMOT01L,MOT,Motion / Movement,01L,SP:MOT:01L,,Swift directional change in response to threat.,dart|sidestep|swerve,mot01l,357,TRUE,TRUE
SIGSMOT01M,MOT,Motion / Movement,01M,SP:MOT:01M,,Motion toward a destination or objective.,head to|move toward|aim,mot01m,358,TRUE,TRUE
SIGSMOT01N,MOT,Motion / Movement,01N,SP:MOT:01N,,Bodily repositioning to restore balance.,adjust|recenter|realign,mot01n,359,TRUE,TRUE
SIGSMOT01O,MOT,Motion / Movement,01O,SP:MOT:01O,,Reverent or ceremonial movement used in ritual.,bow|kneel|process,mot01o,360,TRUE,TRUE
SIGSMOT01P,MOT,Motion / Movement,01P,SP:MOT:01P,,Energetic bouncing movement expressing enthusiasm.,spring|bound|leap,mot01p,361,TRUE,TRUE
SIGSMOT01Q,MOT,Motion / Movement,01Q,SP:MOT:01Q,,Erratic motion caused by confusion or malfunction.,glitch|spasm|misfire,mot01q,362,TRUE,TRUE
SIGSMOT01R,MOT,Motion / Movement,01R,SP:MOT:01R,,Retreat into isolation or inner space.,withdraw|pull back|recede,mot01r,363,TRUE,TRUE
SIGSMOT01S,MOT,Motion / Movement,01S,SP:MOT:01S,,Motion that restores connection or harmony.,reunite|reconnect|converge,mot01s,364,TRUE,TRUE
SIGSMOT01T,MOT,Motion / Movement,01T,SP:MOT:01T,,Motion used for protection or shielding.,block|cover|intercept,mot01t,365,TRUE,TRUE
SIGSMOT01U,MOT,Motion / Movement,01U,SP:MOT:01U,,Oscillating movement representing instability or transition.,waver|teeter|fluctuate,mot01u,366,TRUE,TRUE
SIGSMOT01V,MOT,Motion / Movement,01V,SP:MOT:01V,,Motion extending outward from a center point.,expand|extend|radiate,mot01v,367,TRUE,TRUE
SIGSMOT01W,MOT,Motion / Movement,01W,SP:MOT:01W,,Return to origin or previous state through motion.,rebound|revisit|snap back,mot01w,368,TRUE,TRUE
SIGSMOT01X,MOT,Motion / Movement,01X,SP:MOT:01X,,Stealth-based movement designed to remain undetected.,sneak|creep|tiptoe,mot01x,369,TRUE,TRUE
SIGSMOT01Y,MOT,Motion / Movement,01Y,SP:MOT:01Y,,Sweeping or wide-ranging motion.,arc|sweep|pan,mot01y,370,TRUE,TRUE
SIGSMOT01Z,MOT,Motion / Movement,01Z,SP:MOT:01Z,,"Energetic, coordinated group motion toward a shared goal.",mobilize|advance|rally,mot01z,371,TRUE,TRUE
SIGSMOT020,MOT,Motion / Movement,020,SP:MOT:020,,Motion through resistance or obstruction.,push through|struggle|plow,mot020,372,TRUE,TRUE
SIGSMOT021,MOT,Motion / Movement,021,SP:MOT:021,,Falling motion caused by sudden collapse or surrender.,crumble|collapse|fall,mot021,373,TRUE,TRUE
SIGSMOT022,MOT,Motion / Movement,022,SP:MOT:022,,Fine-grained micro-movements expressing subtlety.,shift slightly|tilt|adjust,mot022,374,TRUE,TRUE
SIGSMOT023,MOT,Motion / Movement,023,SP:MOT:023,,Aggressive motion intended to dominate or control space.,storm|seize|occupy,mot023,375,TRUE,TRUE
SIGSMOT024,MOT,Motion / Movement,024,SP:MOT:024,,Unconscious or habitual physical movement.,fidget|pace|drum fingers,mot024,376,TRUE,TRUE
SIGSMOT025,MOT,Motion / Movement,025,SP:MOT:025,,Motion implying growth or organic expansion.,bloom|spread|unfurl,mot025,377,TRUE,TRUE
SIGSMOT026,MOT,Motion / Movement,026,SP:MOT:026,,"Abrupt, one-time motion with clear intent.",snap|jerk|pop,mot026,378,TRUE,TRUE
SIGSMOT027,MOT,Motion / Movement,027,SP:MOT:027,,Energetic repetition aimed at breaking through limits.,pound|slam|drive,mot027,379,TRUE,TRUE
SIGSMOT028,MOT,Motion / Movement,028,SP:MOT:028,,Continuous motion that resists being stopped.,roll on|power through|grind,mot028,380,TRUE,TRUE
SIGSMOT029,MOT,Motion / Movement,029,SP:MOT:029,,Simulated or imagined motion in digital or mental space.,simulate|visualize movement|render,mot029,381,TRUE,TRUE
SIGSMOT02A,MOT,Motion / Movement,02A,SP:MOT:02A,,Movement tied to exploration of identity or transformation.,shift identity|embody|metamorphose,mot02a,382,TRUE,TRUE
SIGSMOT02B,MOT,Motion / Movement,02B,SP:MOT:02B,,Motion expressed through sound or vibration.,hum|resonate|echo,mot02b,383,TRUE,TRUE
SIGSMOT02C,MOT,Motion / Movement,02C,SP:MOT:02C,,Nonlinear motion disrupting expected path.,zigzag|swerve|deviate,mot02c,384,TRUE,TRUE
SIGSMOT02D,MOT,Motion / Movement,02D,SP:MOT:02D,,Action that initiates broader motion or change.,trigger|kickstart|ignite,mot02d,385,TRUE,TRUE
SIGSMOT02E,MOT,Motion / Movement,02E,SP:MOT:02E,,Motion used to stabilize an unstable structure.,brace|anchor|counterbalance,mot02e,386,TRUE,TRUE
SIGSMOT02F,MOT,Motion / Movement,02F,SP:MOT:02F,,Reverberating or echoing motion from original impact.,ripple|shockwave|bounce back,mot02f,387,TRUE,TRUE
SIGSMOT02G,MOT,Motion / Movement,02G,SP:MOT:02G,,Motion signaling invitation or openness.,gesture in|welcome|open arms,mot02g,388,TRUE,TRUE
SIGSMOT02H,MOT,Motion / Movement,02H,SP:MOT:02H,,Transdimensional or speculative movement across realities.,phase shift|jump realms|cross veil,mot02h,389,TRUE,TRUE
SIGSMOT02I,MOT,Motion / Movement,02I,SP:MOT:02I,,Motion that resists finality or completion.,linger|stretch out|delay,mot02i,390,TRUE,TRUE
SIGSMOT02J,MOT,Motion / Movement,02J,SP:MOT:02J,,"Motion embedded in memory, ritual, or repetition.",rehearse|reenact|retrace,mot02j,391,TRUE,TRUE
SIGSMOT02K,MOT,Motion / Movement,02K,SP:MOT:02K,,Clumsy or inefficient motion lacking coordination.,stumble|fumble|wobble,mot02k,392,TRUE,TRUE
SIGSMOT02L,MOT,Motion / Movement,02L,SP:MOT:02L,,Covert or encrypted motion concealed from view.,cloak|mask|obscure,mot02l,393,TRUE,TRUE
SIGSMOT02M,MOT,Motion / Movement,02M,SP:MOT:02M,,Multi-directional motion expressing indecisiveness.,back and forth|zigzag|oscillate,mot02m,394,TRUE,TRUE
SIGSMOT02N,MOT,Motion / Movement,02N,SP:MOT:02N,,Celestial or cosmic-scale movement.,drift through space|orbital shift|stellar transit,mot02n,395,TRUE,TRUE
SIGSMOT02O,MOT,Motion / Movement,02O,SP:MOT:02O,,Motion representing surrender or collapse of resistance.,kneel|submit|fold,mot02o,396,TRUE,TRUE
SIGSMOT02P,MOT,Motion / Movement,02P,SP:MOT:02P,,Motion that marks time or progression.,tick|turn|rotate,mot02p,397,TRUE,TRUE
SIGSMOT02Q,MOT,Motion / Movement,02Q,SP:MOT:02Q,,Movement imitating another’s pattern or flow.,mirror|sync|shadow,mot02q,398,TRUE,TRUE
SIGSMOT02R,MOT,Motion / Movement,02R,SP:MOT:02R,,Motion through non-physical conceptual layers.,ascend dimensions|layer shift|climb abstraction,mot02r,399,TRUE,TRUE
SIGSMOT02S,MOT,Motion / Movement,02S,SP:MOT:02S,Motion that returns to a point of origin with transformat...,Motion that returns to a point of origin with transformation.,cycle back|return changed|close the loop,mot02s,400,TRUE,TRUE
SIGSTIM001,TIM,Time / Sequence,001,SP:TIM:001,,The beginning point of an action or process in time.,start|initiate|commence,tim001,401,TRUE,TRUE
SIGSTIM002,TIM,Time / Sequence,002,SP:TIM:002,,The final point of a timeline or process.,end|conclude|terminate,tim002,402,TRUE,TRUE
SIGSTIM003,TIM,Time / Sequence,003,SP:TIM:003,,A pause or temporary halt within a time flow.,pause|break|interruption,tim003,403,TRUE,TRUE
SIGSTIM004,TIM,Time / Sequence,004,SP:TIM:004,,Progression from one state or phase to another.,transition|shift|move on,tim004,404,TRUE,TRUE
SIGSTIM005,TIM,Time / Sequence,005,SP:TIM:005,,A repeating cycle or regularly recurring time pattern.,cycle|loop|repeat,tim005,405,TRUE,TRUE
SIGSTIM006,TIM,Time / Sequence,006,SP:TIM:006,,Anticipated occurrence before an event.,foresee|expect|predict,tim006,406,TRUE,TRUE
SIGSTIM007,TIM,Time / Sequence,007,SP:TIM:007,,Event or action that follows another in time.,after|next|then,tim007,407,TRUE,TRUE
SIGSTIM008,TIM,Time / Sequence,008,SP:TIM:008,,Temporal relation of two events occurring at once.,simultaneous|concurrent|parallel,tim008,408,TRUE,TRUE
SIGSTIM009,TIM,Time / Sequence,009,SP:TIM:009,,Measurement of time in defined intervals.,duration|span|length,tim009,409,TRUE,TRUE
SIGSTIM00A,TIM,Time / Sequence,00A,SP:TIM:00A,,A known moment or fixed point in time.,timestamp|checkpoint|moment,tim00a,410,TRUE,TRUE
SIGSTIM00B,TIM,Time / Sequence,00B,SP:TIM:00B,,An event placed in historical or linear order.,chronicle|timeline|record,tim00b,411,TRUE,TRUE
SIGSTIM00C,TIM,Time / Sequence,00C,SP:TIM:00C,,The return of an event after a time delay.,resurface|recur|come back,tim00c,412,TRUE,TRUE
SIGSTIM00D,TIM,Time / Sequence,00D,SP:TIM:00D,,Long delay or extension beyond expected time.,postpone|prolong|defer,tim00d,413,TRUE,TRUE
SIGSTIM00E,TIM,Time / Sequence,00E,SP:TIM:00E,,Period preceding an important change or event.,lead-up|build|prelude,tim00e,414,TRUE,TRUE
SIGSTIM00F,TIM,Time / Sequence,00F,SP:TIM:00F,,Brief segment of time with intense focus or impact.,flash|instant|moment,tim00f,415,TRUE,TRUE
SIGSTIM00G,TIM,Time / Sequence,00G,SP:TIM:00G,,Temporal dislocation or non-linear time sequence.,time jump|flashback|out of order,tim00g,416,TRUE,TRUE
SIGSTIM00H,TIM,Time / Sequence,00H,SP:TIM:00H,,Gradual unfolding of events over time.,evolve|develop|unfold,tim00h,417,TRUE,TRUE
SIGSTIM00I,TIM,Time / Sequence,00I,SP:TIM:00I,,Expected arrival or occurrence within a timeline.,due|scheduled|incoming,tim00i,418,TRUE,TRUE
SIGSTIM00J,TIM,Time / Sequence,00J,SP:TIM:00J,,Time as perceived subjectively by an individual.,drag|rush|stand still,tim00j,419,TRUE,TRUE
SIGSTIM00K,TIM,Time / Sequence,00K,SP:TIM:00K,,Cyclical pattern tied to natural or seasonal rhythms.,season|rotation|solstice,tim00k,420,TRUE,TRUE
SIGSTIM00L,TIM,Time / Sequence,00L,SP:TIM:00L,,Discrete phase within a larger progression.,stage|step|phase,tim00l,421,TRUE,TRUE
SIGSTIM00M,TIM,Time / Sequence,00M,SP:TIM:00M,,An action delayed but eventually executed.,belated|catch up|follow through,tim00m,422,TRUE,TRUE
SIGSTIM00N,TIM,Time / Sequence,00N,SP:TIM:00N,,Moment of synchronization between separate events.,align|sync|coincide,tim00n,423,TRUE,TRUE
SIGSTIM00O,TIM,Time / Sequence,00O,SP:TIM:00O,,Relative position in a time-based hierarchy.,earlier|later|prior,tim00o,424,TRUE,TRUE
SIGSTIM00P,TIM,Time / Sequence,00P,SP:TIM:00P,,Rapid sequence of events in compressed time.,flurry|cascade|onslaught,tim00p,425,TRUE,TRUE
SIGSTIM00Q,TIM,Time / Sequence,00Q,SP:TIM:00Q,,Temporal perspective on what is yet to come.,future|forthcoming|ahead,tim00q,426,TRUE,TRUE
SIGSTIM00R,TIM,Time / Sequence,00R,SP:TIM:00R,,The perceived end of an era or period.,closure|sunset|expiration,tim00r,427,TRUE,TRUE
SIGSTIM00S,TIM,Time / Sequence,00S,SP:TIM:00S,,Shifting from timelessness to time-awareness.,awaken|notice time|come to,tim00s,428,TRUE,TRUE
SIGSTIM00T,TIM,Time / Sequence,00T,SP:TIM:00T,,A decision point that alters future sequences.,turning point|pivot|inflection,tim00t,429,TRUE,TRUE
SIGSTIM00U,TIM,Time / Sequence,00U,SP:TIM:00U,,Loss of clear temporal continuity.,disorient|blur|fragment,tim00u,430,TRUE,TRUE
SIGSTIM00V,TIM,Time / Sequence,00V,SP:TIM:00V,,Placement of one action before another intentionally.,precede|preempt|go before,tim00v,431,TRUE,TRUE
SIGSTIM00W,TIM,Time / Sequence,00W,SP:TIM:00W,,Time-related compression of multiple actions into one frame.,condense|summarize|pack,tim00w,432,TRUE,TRUE
SIGSTIM00X,TIM,Time / Sequence,00X,SP:TIM:00X,,Scheduled repetition at fixed intervals.,recurring|routine|habitual,tim00x,433,TRUE,TRUE
SIGSTIM00Y,TIM,Time / Sequence,00Y,SP:TIM:00Y,,Temporal gap filled with inactivity or silence.,lull|hiatus|void,tim00y,434,TRUE,TRUE
SIGSTIM00Z,TIM,Time / Sequence,00Z,SP:TIM:00Z,,Change in time awareness due to emotional intensity.,slow down|rush by|timeless,tim00z,435,TRUE,TRUE
SIGSTIM010,TIM,Time / Sequence,010,SP:TIM:010,,Time treated as a linear construct to be traversed.,timeline|progression|path,tim010,436,TRUE,TRUE
SIGSTIM011,TIM,Time / Sequence,011,SP:TIM:011,,Temporal logic for ordering cause and effect.,sequence|order|progression,tim011,437,TRUE,TRUE
SIGSTIM012,TIM,Time / Sequence,012,SP:TIM:012,,Historical resonance carried forward through time.,legacy|carryover|echo,tim012,438,TRUE,TRUE
SIGSTIM013,TIM,Time / Sequence,013,SP:TIM:013,,Extended wait due to delay or external blockage.,stall|hold up|delay,tim013,439,TRUE,TRUE
SIGSTIM014,TIM,Time / Sequence,014,SP:TIM:014,,Non-verbal cues of time passage or urgency.,clock ticking|sunset|shadow shift,tim014,440,TRUE,TRUE
SIGSTIM015,TIM,Time / Sequence,015,SP:TIM:015,,Simulated time in artificial or digital contexts.,render time|clock speed|frame rate,tim015,441,TRUE,TRUE
SIGSTIM016,TIM,Time / Sequence,016,SP:TIM:016,,Symbolic representation of recurring time states.,déjà vu|echo|returning feeling,tim016,442,TRUE,TRUE
SIGSTIM017,TIM,Time / Sequence,017,SP:TIM:017,,Planned acceleration or rush toward a deadline.,sprint|rush|push forward,tim017,443,TRUE,TRUE
SIGSTIM018,TIM,Time / Sequence,018,SP:TIM:018,,Experience of time in fragmented or disjointed ways.,snapshots|clips|jumps,tim018,444,TRUE,TRUE
SIGSTIM019,TIM,Time / Sequence,019,SP:TIM:019,,A moment of temporal significance or recognition.,milestone|marker|event,tim019,445,TRUE,TRUE
SIGSTIM01A,TIM,Time / Sequence,01A,SP:TIM:01A,,Disruption of expected timing in a sequence.,out of sync|offbeat|delay,tim01a,446,TRUE,TRUE
SIGSTIM01B,TIM,Time / Sequence,01B,SP:TIM:01B,,Meta-awareness of time as a construct or illusion.,timeless|nonlinear|constructed,tim01b,447,TRUE,TRUE
SIGSTIM01C,TIM,Time / Sequence,01C,SP:TIM:01C,,Time-related deception or manipulation.,fake timestamp|time distortion|altered record,tim01c,448,TRUE,TRUE
SIGSTIM01D,TIM,Time / Sequence,01D,SP:TIM:01D,,Temporal restoration after disruption.,reset|restore order|sync again,tim01d,449,TRUE,TRUE
SIGSTIM01E,TIM,Time / Sequence,01E,SP:TIM:01E,,Abrupt termination of temporal flow.,cut short|end suddenly|snap,tim01e,450,TRUE,TRUE
SIGSTIM01F,TIM,Time / Sequence,01F,SP:TIM:01F,,Memory-based orientation to past events.,recall|remember|look back,tim01f,451,TRUE,TRUE
SIGSTIM01G,TIM,Time / Sequence,01G,SP:TIM:01G,,The process of anchoring actions to specific times.,schedule|plan|allocate,tim01g,452,TRUE,TRUE
SIGSTIM01H,TIM,Time / Sequence,01H,SP:TIM:01H,,Time perceived as infinite or unreachable.,eternity|forever|unending,tim01h,453,TRUE,TRUE
SIGSTIM01I,TIM,Time / Sequence,01I,SP:TIM:01I,,A disruption in expected temporal reality.,time warp|glitch|disruption,tim01i,454,TRUE,TRUE
SIGSTIM01J,TIM,Time / Sequence,01J,SP:TIM:01J,,Effort to extend time beyond natural limits.,prolong|stretch|extend,tim01j,455,TRUE,TRUE
SIGSTIM01K,TIM,Time / Sequence,01K,SP:TIM:01K,,Compact or accelerated experience of a long period.,time lapse|compress|condense,tim01k,456,TRUE,TRUE
SIGSTIM01L,TIM,Time / Sequence,01L,SP:TIM:01L,,Structured repetition to mark rhythm or habit.,routine|ritual|habit,tim01l,457,TRUE,TRUE
SIGSTIM01M,TIM,Time / Sequence,01M,SP:TIM:01M,,Symbolic anticipation of what is to come.,omen|foreshadow|premonition,tim01m,458,TRUE,TRUE
SIGSTIM01N,TIM,Time / Sequence,01N,SP:TIM:01N,,Systematic segmentation of time for measurement.,calendar|clock|schedule,tim01n,459,TRUE,TRUE
SIGSTIM01O,TIM,Time / Sequence,01O,SP:TIM:01O,,Phase of waiting before resolution or answer.,limbo|interlude|pending,tim01o,460,TRUE,TRUE
SIGSTIM01P,TIM,Time / Sequence,01P,SP:TIM:01P,,Compression of multiple historical narratives into one.,myth|legend|summary,tim01p,461,TRUE,TRUE
SIGSTIM01Q,TIM,Time / Sequence,01Q,SP:TIM:01Q,,Fleeting or passing nature of certain moments.,transient|ephemeral|fleeting,tim01q,462,TRUE,TRUE
SIGSTIM01R,TIM,Time / Sequence,01R,SP:TIM:01R,,Sequential logic binding past to future.,cause and effect|timeline|continuum,tim01r,463,TRUE,TRUE
SIGSTIM01S,TIM,Time / Sequence,01S,SP:TIM:01S,,Symbolic reset or renewal in the temporal cycle.,new beginning|rebirth|restart,tim01s,464,TRUE,TRUE
SIGSTIM01T,TIM,Time / Sequence,01T,SP:TIM:01T,,Temporal accumulation or buildup toward change.,momentum|tension|crescendo,tim01t,465,TRUE,TRUE
SIGSTIM01U,TIM,Time / Sequence,01U,SP:TIM:01U,,Memory distortion affecting time perception.,false memory|time fog|confabulation,tim01u,466,TRUE,TRUE
SIGSTIM01V,TIM,Time / Sequence,01V,SP:TIM:01V,,Perceived acceleration toward an ending.,spiral|rush|countdown,tim01v,467,TRUE,TRUE
SIGSTIM01W,TIM,Time / Sequence,01W,SP:TIM:01W,,Time-based alignment between separate systems.,sync|coordinate|align,tim01w,468,TRUE,TRUE
SIGSTIM01X,TIM,Time / Sequence,01X,SP:TIM:01X,,Temporal handoff or succession.,pass on|inherit|succeed,tim01x,469,TRUE,TRUE
SIGSTIM01Y,TIM,Time / Sequence,01Y,SP:TIM:01Y,,Reinforcement of time logic through repetition.,confirm|restate|cycle back,tim01y,470,TRUE,TRUE
SIGSTIM01Z,TIM,Time / Sequence,01Z,SP:TIM:01Z,,Experience of time that deviates from consensus reality.,subjective time|private timeline|personal chronology,tim01z,471,TRUE,TRUE
SIGSTIM020,TIM,Time / Sequence,020,SP:TIM:020,,Symbolic moment of convergence from different paths.,intersection|synchronicity|meeting point,tim020,472,TRUE,TRUE
SIGSTIM021,TIM,Time / Sequence,021,SP:TIM:021,,Time used as a mechanism of control or authority.,deadline|time limit|curfew,tim021,473,TRUE,TRUE
SIGSTIM022,TIM,Time / Sequence,022,SP:TIM:022,,Anticipated time window for action or change.,opening|opportunity|window,tim022,474,TRUE,TRUE
SIGSTIM023,TIM,Time / Sequence,023,SP:TIM:023,,Time defined by absence or non-events.,void|silence|nothingness,tim023,475,TRUE,TRUE
SIGSTIM024,TIM,Time / Sequence,024,SP:TIM:024,,Cultural or ritual structuring of time.,calendar cycle|ceremony|holy day,tim024,476,TRUE,TRUE
SIGSTIM025,TIM,Time / Sequence,025,SP:TIM:025,,Pacing of events in storytelling or presentation.,tempo|rhythm|timing,tim025,477,TRUE,TRUE
SIGSTIM026,TIM,Time / Sequence,026,SP:TIM:026,,Time-based comparison between parallel outcomes.,alternate timeline|what-if|branching path,tim026,478,TRUE,TRUE
SIGSTIM027,TIM,Time / Sequence,027,SP:TIM:027,,The inevitable return of consequences over time.,karma|back around|full circle,tim027,479,TRUE,TRUE
SIGSTIM028,TIM,Time / Sequence,028,SP:TIM:028,,Narrative compression skipping over inactive time.,jump cut|fade|skip ahead,tim028,480,TRUE,TRUE
SIGSTIM029,TIM,Time / Sequence,029,SP:TIM:029,,Symbolic gateway into new time awareness.,awakening|threshold|shift,tim029,481,TRUE,TRUE
SIGSTIM02A,TIM,Time / Sequence,02A,SP:TIM:02A,,Perceived looping of time or events.,loop|replay|again,tim02a,482,TRUE,TRUE
SIGSTIM02B,TIM,Time / Sequence,02B,SP:TIM:02B,,Time-lag or echo after original cause.,aftershock|echo|reverberation,tim02b,483,TRUE,TRUE
SIGSTIM02C,TIM,Time / Sequence,02C,SP:TIM:02C,,Moment of temporal inversion or reversal.,rewind|reverse|backtrack,tim02c,484,TRUE,TRUE
SIGSTIM02D,TIM,Time / Sequence,02D,SP:TIM:02D,,The process of integrating past timelines into a whole.,synthesize|merge histories|consolidate,tim02d,485,TRUE,TRUE
SIGSTIM02E,TIM,Time / Sequence,02E,SP:TIM:02E,,Dissonance between expected and actual time flow.,off-sync|jarring|break in rhythm,tim02e,486,TRUE,TRUE
SIGSTIM02F,TIM,Time / Sequence,02F,SP:TIM:02F,,Cultural perception of time as spiritual or sacred.,kairos|divine timing|ritual time,tim02f,487,TRUE,TRUE
SIGSTIM02G,TIM,Time / Sequence,02G,SP:TIM:02G,,Emergent patterns in temporal chaos.,serendipity|fractal rhythm|unexpected sequence,tim02g,488,TRUE,TRUE
SIGSTIM02H,TIM,Time / Sequence,02H,SP:TIM:02H,,Historical continuity that transcends individuals.,tradition|lineage|heritage,tim02h,489,TRUE,TRUE
SIGSTIM02I,TIM,Time / Sequence,02I,SP:TIM:02I,,Cross-temporal communication or perception.,prophecy|premonition|retrospect,tim02i,490,TRUE,TRUE
SIGSTIM02J,TIM,Time / Sequence,02J,SP:TIM:02J,,Temporal buffering to allow space before engagement.,cooldown|grace period|gap,tim02j,491,TRUE,TRUE
SIGSTIM02K,TIM,Time / Sequence,02K,SP:TIM:02K,,Awareness of being inside a moment of change.,transition point|in-between|crossfade,tim02k,492,TRUE,TRUE
SIGSTIM02L,TIM,Time / Sequence,02L,SP:TIM:02L,,Symbolic act that seals or marks the end of time segment.,close|sign off|mark completion,tim02l,493,TRUE,TRUE
SIGSTIM02M,TIM,Time / Sequence,02M,SP:TIM:02M,,Temporal entanglement between distant events.,nonlocal effect|entangled timeline|linked fates,tim02m,494,TRUE,TRUE
SIGSTIM02N,TIM,Time / Sequence,02N,SP:TIM:02N,,Time seen as a landscape for inner exploration.,dream time|journey|vision walk,tim02n,495,TRUE,TRUE
SIGSTIM02O,TIM,Time / Sequence,02O,SP:TIM:02O,,Delay caused by overload or excess processes.,lag|overload|clog,tim02o,496,TRUE,TRUE
SIGSTIM02P,TIM,Time / Sequence,02P,SP:TIM:02P,,Permanence or temporal anchoring through ritual.,consecrate|enshrine|mark,tim02p,497,TRUE,TRUE
SIGSTIM02Q,TIM,Time / Sequence,02Q,SP:TIM:02Q,,Interpersonal alignment of pacing and rhythm.,sync up|fall into rhythm|pace match,tim02q,498,TRUE,TRUE
SIGSTIM02R,TIM,Time / Sequence,02R,SP:TIM:02R,,Imagined or speculative time that never occurred.,hypothetical past|alternate history|counterfactual,tim02r,499,TRUE,TRUE
SIGSTIM02S,TIM,Time / Sequence,02S,SP:TIM:02S,,Temporal fusion of multiple states into a single moment.,timeless unity|collapse|singularity,tim02s,500,TRUE,TRUE
SIGSQTY001,QTY,Quantity / Amount,001,SP:QTY:001,Small Quantity — intent involving 'small quantity' concep...,Small Quantity — intent involving 'small quantity' conceptual amount.,few|scant|barely,qty001,501,TRUE,TRUE
SIGSQTY002,QTY,Quantity / Amount,002,SP:QTY:002,Large Quantity — intent involving 'large quantity' concep...,Large Quantity — intent involving 'large quantity' conceptual amount.,many|abundant|numerous,qty002,502,TRUE,TRUE
SIGSQTY003,QTY,Quantity / Amount,003,SP:QTY:003,Exact Quantity — intent involving 'exact quantity' concep...,Exact Quantity — intent involving 'exact quantity' conceptual amount.,exact|specific|precise,qty003,503,TRUE,TRUE
SIGSQTY004,QTY,Quantity / Amount,004,SP:QTY:004,Rough Estimate — intent involving 'rough estimate' concep...,Rough Estimate — intent involving 'rough estimate' conceptual amount.,around|about|roughly,qty004,504,TRUE,TRUE
SIGSQTY005,QTY,Quantity / Amount,005,SP:QTY:005,Excessive Amount — intent involving 'excessive amount' co...,Excessive Amount — intent involving 'excessive amount' conceptual quantity.,too much|overload|flood,qty005,505,TRUE,TRUE
SIGSQTY006,QTY,Quantity / Amount,006,SP:QTY:006,Insufficient Amount — intent involving 'insufficient amou...,Insufficient Amount — intent involving 'insufficient amount' conceptual quantity.,not enough|lacking|short,qty006,506,TRUE,TRUE
SIGSQTY007,QTY,Quantity / Amount,007,SP:QTY:007,Incremental Increase — intent involving gradual or stepwi...,Incremental Increase — intent involving gradual or stepwise accumulation.,add|grow|accumulate,qty007,507,TRUE,TRUE
SIGSQTY008,QTY,Quantity / Amount,008,SP:QTY:008,Reduction or Loss — intent involving decreasing or losing...,Reduction or Loss — intent involving decreasing or losing quantity.,decrease|shrink|reduce,qty008,508,TRUE,TRUE
SIGSQTY009,QTY,Quantity / Amount,009,SP:QTY:009,Maximum Limit — intent involving an upper boundary of qua...,Maximum Limit — intent involving an upper boundary of quantity.,cap|ceiling|upper bound,qty009,509,TRUE,TRUE
